hc_date,day,PCA_1,PCA_2
2021-02-26 12:00:00+01:00,26/02/2021,2.3077125736529682,-3.234740889155915
2021-02-26 13:00:00+01:00,26/02/2021,1.8163682491072413,-3.023539626533484
2021-02-26 14:00:00+01:00,26/02/2021,-0.2179766545510519,-2.5806082233718137
2021-02-26 15:00:00+01:00,26/02/2021,-1.115365926859277,-2.4711607795879162
2021-02-26 16:00:00+01:00,26/02/2021,-1.7441827502561904,-2.2854010933286246
2021-02-26 17:00:00+01:00,26/02/2021,-1.7035802397985178,-2.3562399005578984
2021-02-26 18:00:00+01:00,26/02/2021,-1.6570376627604582,-2.9563876575301418
2021-02-26 19:00:00+01:00,26/02/2021,-1.8510898342687143,-3.547863458701455
2021-02-26 20:00:00+01:00,26/02/2021,-1.8158212909597824,-3.2930266005075044
2021-02-26 21:00:00+01:00,26/02/2021,-1.8526095904196465,-3.106740061703526
2021-02-26 22:00:00+01:00,26/02/2021,-1.8268791444286685,-3.0236845457815877
2021-02-26 23:00:00+01:00,26/02/2021,-1.8705437731857646,-2.8867554162704447
2021-02-27 00:00:00+01:00,27/02/2021,-1.876400184236554,-2.878284836854833
2021-02-27 01:00:00+01:00,27/02/2021,-1.9371095174294632,-2.865330350353053
2021-02-27 02:00:00+01:00,27/02/2021,-1.936153557071831,-2.8327265225227576
2021-02-27 03:00:00+01:00,27/02/2021,-1.9388998762391239,-2.6643005001558344
2021-02-27 04:00:00+01:00,27/02/2021,-1.2206966005402522,-2.522359259779072
2021-02-27 05:00:00+01:00,27/02/2021,-0.7816770603201063,-2.949136649072648
2021-02-27 06:00:00+01:00,27/02/2021,-0.5486912800469302,-3.3377876380941403
2021-02-27 07:00:00+01:00,27/02/2021,-0.6965199908915798,-2.8577250621933943
2021-02-27 08:00:00+01:00,27/02/2021,-1.067299862003986,-2.858235680459233
2021-02-27 09:00:00+01:00,27/02/2021,-1.1658001801855598,-2.614291800623685
2021-02-27 10:00:00+01:00,27/02/2021,-1.1022556301255362,-2.4828801199526023
2021-02-27 11:00:00+01:00,27/02/2021,-1.0490410609518912,-2.377602594920503
2021-02-27 12:00:00+01:00,27/02/2021,-0.8373576586501447,-2.551080522415784
2021-02-27 13:00:00+01:00,27/02/2021,-1.158451275608898,-2.405294116898409
2021-02-27 14:00:00+01:00,27/02/2021,-1.6819327518424108,-2.5343739708759045
2021-02-27 15:00:00+01:00,27/02/2021,-1.749083491329022,-2.3825276448262662
